date,PAYEMS_19950106,PAYEMS_19950407,PAYEMS_19950707,PAYEMS_19951006,PAYEMS_19960119,PAYEMS_19960405,PAYEMS_19960705,PAYEMS_19961004,PAYEMS_19970110,PAYEMS_19970404,PAYEMS_19970703,PAYEMS_19971003,PAYEMS_19980109,PAYEMS_19980403,PAYEMS_19980702,PAYEMS_19981002,PAYEMS_19990108,PAYEMS_19990402,PAYEMS_19990702,PAYEMS_19991008,PAYEMS_20000107,PAYEMS_20000407,PAYEMS_20000707,PAYEMS_20001006,PAYEMS_20010105,PAYEMS_20010406,PAYEMS_20010706,PAYEMS_20011005,PAYEMS_20020104,PAYEMS_20020405,PAYEMS_20020705,PAYEMS_20021004,PAYEMS_20030110,PAYEMS_20030404,PAYEMS_20030703,PAYEMS_20031003,PAYEMS_20040109,PAYEMS_20040402,PAYEMS_20040702,PAYEMS_20041008,PAYEMS_20050107,PAYEMS_20050401,PAYEMS_20050708,PAYEMS_20051007,PAYEMS_20060106,PAYEMS_20060407,PAYEMS_20060707,PAYEMS_20061006,PAYEMS_20070105,PAYEMS_20070406,PAYEMS_20070706,PAYEMS_20071005,PAYEMS_20080104,PAYEMS_20080404,PAYEMS_20080703,PAYEMS_20081003,PAYEMS_20090109,PAYEMS_20090403,PAYEMS_20090702,PAYEMS_20091002,PAYEMS_20100108,PAYEMS_20100402,PAYEMS_20100702,PAYEMS_20101008,PAYEMS_20110107,PAYEMS_20110401,PAYEMS_20110708,PAYEMS_20111007,PAYEMS_20120106,PAYEMS_20120406,,EMPLOY12M7,EMPLOY12M10,EMPLOY13M1,EMPLOY13M4,EMPLOY13M7,EMPLOY13M10,EMPLOY14M1,EMPLOY14M4,EMPLOY14M7,EMPLOY14M10,EMPLOY15M1,EMPLOY15M4,EMPLOY15M7,EMPLOY15M10,EMPLOY16M1,EMPLOY16M4,EMPLOY16M7,EMPLOY16M10,EMPLOY17M1,EMPLOY17M4,EMPLOY17M7,EMPLOY17M10,EMPLOY18M1
2000:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2.58,2.62,2.62,2.62,2.62,2.72,2.72,2.72,2.72,2.74,2.74,2.74,2.74,2.39,2.39,2.39,2.32,2.32,2.32,2.32,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.43,2.40380839,2.40380839,2.40380839,2.374331551,2.374331551,2.374331551,2.374331551,2.349216952,2.349216952,2.349216952,2.349216952,2.352257748,2.352257748,2.352257748,2.352257748,2.353281986,2.353281986,2.353281986,2.353281986,2.355323258,2.355323258,2.355323258,2.355323258,2.342013703
2000:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2.82,2.87,2.87,2.87,2.68,2.68,2.68,2.68,2.54,2.54,2.54,2.54,2.49,2.49,2.49,2.56,2.56,2.56,2.56,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.370154083,2.370154083,2.370154083,2.376581912,2.376581912,2.376581912,2.376581912,2.371035515,2.371035515,2.371035515,2.371035515,2.3669703,2.3669703,2.3669703,2.3669703,2.370999386,2.370999386,2.370999386,2.370999386,2.373047397,2.373047397,2.373047397,2.373047397,2.383238095
2000:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.24,0.2,0.2,0.22,0.22,0.22,0.22,0.17,0.17,0.17,0.17,0.64,0.64,0.64,0.7,0.7,0.7,0.7,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.760753369,0.760753369,0.760753369,0.770329165,0.770329165,0.770329165,0.770329165,0.780618331,0.780618331,0.780618331,0.780618331,0.781652377,0.781652377,0.781652377,0.781652377,0.784666169,0.784666169,0.784666169,0.784666169,0.782634381,0.782634381,0.782634381,0.782634381,0.787687833
2000:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.74,0.66,1.02,1.02,1.02,1.02,0.94,0.94,0.94,0.94,0.86,0.86,0.86,0.74,0.74,0.74,0.74,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.812866211,0.812866211,0.812866211,0.811225975,0.811225975,0.811225975,0.811225975,0.810363399,0.810363399,0.810363399,0.810363399,0.808339507,0.808339507,0.808339507,0.808339507,0.820411752,0.820411752,0.820411752,0.820411752,0.819416048,0.819416048,0.819416048,0.819416048,0.815378103
2001:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.2,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.556249734,0.556249734,0.556249734,0.515535896,0.515535896,0.515535896,0.515535896,0.541181869,0.541181869,0.541181869,0.541181869,0.548217084,0.548217084,0.548217084,0.548217084,0.554220321,0.554220321,0.554220321,0.554220321,0.557240616,0.557240616,0.557240616,0.557240616,0.544139192
2001:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.31,-0.23,-0.23,-0.23,-0.72,-0.72,-0.72,-0.72,-0.98,-0.98,-0.98,-0.83,-0.83,-0.83,-0.83,-1.08,-1.08,-1.08,-1.08,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06165594,-1.06165594,-1.06165594,-1.045855117,-1.045855117,-1.045855117,-1.045855117,-1.030635256,-1.030635256,-1.030635256,-1.030635256,-1.036651976,-1.036651976,-1.036651976,-1.036651976,-1.032568765,-1.032568765,-1.032568765,-1.032568765,-1.034554974,-1.034554974,-1.034554974,-1.034554974,-1.026562806
2001:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.47,-0.38,-0.38,-0.75,-0.75,-0.75,-0.75,-1.41,-1.41,-1.41,-1.2,-1.2,-1.2,-1.2,-1.14,-1.14,-1.14,-1.14,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24,-1.23,-1.239014128,-1.239014128,-1.239014128,-1.225066957,-1.225066957,-1.225066957,-1.225066957,-1.207538208,-1.207538208,-1.207538208,-1.207538208,-1.205520013,-1.205520013,-1.205520013,-1.205520013,-1.198380689,-1.198380689,-1.198380689,-1.198380689,-1.193338422,-1.193338422,-1.193338422,-1.193338422,-1.157088075
2001:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-2.59,-2.54,-2.44,-2.44,-2.44,-2.44,-2.38,-2.38,-2.38,-2.64,-2.64,-2.64,-2.64,-2.54,-2.54,-2.54,-2.54,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.44,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.39,-2.41,-2.431104178,-2.431104178,-2.431104178,-2.416214433,-2.416214433,-2.416214433,-2.416214433,-2.397114977,-2.397114977,-2.397114977,-2.397114977,-2.400145463,-2.400145463,-2.400145463,-2.400145463,-2.391812512,-2.391812512,-2.391812512,-2.391812512,-2.396848583,-2.396848583,-2.396848583,-2.396848583,-2.424905693
2002:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.85,-1.13,-1.13,-1.13,-1.13,-1.21,-1.21,-1.21,-1.41,-1.41,-1.41,-1.41,-1.27,-1.27,-1.27,-1.27,-1.28,-1.28,-1.28,-1.28,-1.31,-1.31,-1.31,-1.31,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.37,-1.378769943,-1.378769943,-1.378769943,-1.38483732,-1.38483732,-1.38483732,-1.38483732,-1.368892005,-1.368892005,-1.368892005,-1.368892005,-1.362804878,-1.362804878,-1.362804878,-1.362804878,-1.356541885,-1.356541885,-1.356541885,-1.356541885,-1.354533342,-1.354533342,-1.354533342,-1.354533342,-1.393101556
2002:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.16,-0.16,-0.16,-0.16,-0.37,-0.37,-0.37,-0.18,-0.18,-0.18,-0.18,-0.47,-0.47,-0.47,-0.47,-0.52,-0.52,-0.52,-0.52,-0.47,-0.47,-0.47,-0.47,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.426100429,-0.426100429,-0.426100429,-0.396193461,-0.396193461,-0.396193461,-0.396193461,-0.37729442,-0.37729442,-0.37729442,-0.37729442,-0.381390867,-0.381390867,-0.381390867,-0.381390867,-0.375220806,-0.375220806,-0.375220806,-0.375220806,-0.37317048,-0.37317048,-0.37317048,-0.37317048,-0.332423276
2002:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.43,0.42,0.42,-0.5,-0.5,-0.5,-0.31,-0.31,-0.31,-0.31,-0.22,-0.22,-0.22,-0.22,-0.31,-0.31,-0.31,-0.31,-0.28,-0.28,-0.28,-0.28,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.298711122,-0.298711122,-0.298711122,-0.269828298,-0.269828298,-0.269828298,-0.269828298,-0.243958696,-0.243958696,-0.243958696,-0.243958696,-0.244969832,-0.244969832,-0.244969832,-0.244969832,-0.239819369,-0.239819369,-0.239819369,-0.239819369,-0.23776624,-0.23776624,-0.23776624,-0.23776624,-0.196950181
2002:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.12,-0.15,0.31,0.31,0.31,-0.12,-0.12,-0.12,-0.12,-0.04,-0.04,-0.04,-0.04,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.097259617,0.097259617,0.097259617,0.096160536,0.096160536,0.096160536,0.096160536,0.104175444,0.104175444,0.104175444,0.104175444,0.104175978,0.104175978,0.104175978,0.104175978,0.111296623,0.111296623,0.111296623,0.111296623,0.102104844,0.102104844,0.102104844,0.102104844,0.040830704
2003:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.6,-0.35,-0.35,-0.35,-0.61,-0.61,-0.61,-0.61,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.58,-0.577213868,-0.577213868,-0.577213868,-0.594094926,-0.594094926,-0.594094926,-0.594094926,-0.551373456,-0.551373456,-0.551373456,-0.551373456,-0.554439487,-0.554439487,-0.554439487,-0.554439487,-0.548212326,-0.548212326,-0.548212326,-0.548212326,-0.545155239,-0.545155239,-0.545155239,-0.545155239,-0.523731267
2003:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.67,-0.74,-0.74,-0.52,-0.52,-0.52,-0.52,-0.76,-0.76,-0.76,-0.76,-0.8,-0.8,-0.8,-0.8,-0.75,-0.75,-0.75,-0.75,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,-0.77,-0.768680867,-0.768680867,-0.768680867,-0.782378286,-0.782378286,-0.782378286,-0.782378286,-0.736179382,-0.736179382,-0.736179382,-0.736179382,-0.730053904,-0.730053904,-0.730053904,-0.730053904,-0.722731961,-0.722731961,-0.722731961,-0.722731961,-0.71865488,-0.71865488,-0.71865488,-0.71865488,-0.709436218
2003:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-0.45,-0.25,-0.18,-0.18,-0.18,-0.18,0.14,0.14,0.14,0.14,-0.01,-0.01,-0.01,-0.01,0.04,0.04,0.04,0.04,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.087274632,0.087274632,0.087274632,0.0626095,0.0626095,0.0626095,0.0626095,0.100397194,0.100397194,0.100397194,0.100397194,0.099382829,0.099382829,0.099382829,0.099382829,0.104461368,0.104461368,0.104461368,0.104461368,0.10341596,0.10341596,0.10341596,0.10341596,0.073733285
2003:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.64,0.56,0.56,0.56,0.56,0.86,0.86,0.86,0.86,1.09,1.09,1.09,1.09,0.95,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.94,0.935294957,0.935294957,0.935294957,0.925330697,0.925330697,0.925330697,0.925330697,0.928848095,0.928848095,0.928848095,0.928848095,0.929861953,0.929861953,0.929861953,0.929861953,0.93784889,0.93784889,0.93784889,0.93784889,0.942973667,0.942973667,0.942973667,0.942973667,0.937868119
2004:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1.13,1.13,1.13,1.15,1.15,1.15,1.15,1.18,1.18,1.18,1.18,1.17,1.17,1.17,1.17,1.11,1.11,1.11,1.11,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.2,1.191227194,1.191227194,1.191227194,1.173998515,1.173998515,1.173998515,1.173998515,1.192355438,1.192355438,1.192355438,1.192355438,1.191340916,1.191340916,1.191340916,1.191340916,1.196129655,1.196129655,1.196129655,1.196129655,1.185904014,1.185904014,1.185904014,1.185904014,1.215582855
2004:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2.42,2.35,2.35,2.42,2.42,2.42,2.42,2.18,2.18,2.18,2.18,2.28,2.28,2.28,2.28,2.22,2.22,2.22,2.22,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.211964568,2.211964568,2.211964568,2.183913914,2.183913914,2.183913914,2.183913914,2.183043389,2.183043389,2.183043389,2.183043389,2.182034885,2.182034885,2.182034885,2.182034885,2.188612047,2.188612047,2.188612047,2.188612047,2.193700551,2.193700551,2.193700551,2.193700551,2.191575329
2004:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.03,1.2,1.24,1.24,1.24,1.24,0.99,0.99,0.99,0.99,1.05,1.05,1.05,1.05,1.16,1.16,1.16,1.16,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.030828657,1.030828657,1.030828657,0.992654055,0.992654055,0.992654055,0.992654055,0.989868415,0.989868415,0.989868415,0.989868415,0.99391342,0.99391342,0.99391342,0.99391342,1.010835272,1.010835272,1.010835272,1.010835272,1.008824709,1.008824709,1.008824709,1.008824709,0.997673013
2004:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.84,1.75,1.75,1.75,1.75,1.96,1.96,1.96,1.96,1.83,1.83,1.83,1.83,1.82,1.82,1.82,1.82,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.78,1.770723962,1.770723962,1.770723962,1.743475256,1.743475256,1.743475256,1.743475256,1.771676761,1.771676761,1.771676761,1.771676761,1.766630283,1.766630283,1.766630283,1.766630283,1.763032645,1.763032645,1.763032645,1.763032645,1.760001661,1.760001661,1.760001661,1.760001661,1.743811712
2005:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.43,1.56,1.56,1.56,1.37,1.37,1.37,1.37,1.3,1.3,1.3,1.3,1.28,1.28,1.28,1.28,1.46,1.46,1.46,1.46,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.374615779,1.374615779,1.374615779,1.336710392,1.336710392,1.336710392,1.336710392,1.345303832,1.345303832,1.345303832,1.345303832,1.345280346,1.345280346,1.345280346,1.345280346,1.347908745,1.347908745,1.347908745,1.347908745,1.347908745,1.347908745,1.347908745,1.347908745,1.390219245
2005:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.79,1.87,1.87,1.62,1.62,1.62,1.62,2.17,2.17,2.17,2.17,2.08,2.08,2.08,2.08,2.11,2.11,2.11,2.11,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.21,2.196080205,2.196080205,2.196080205,2.188279443,2.188279443,2.188279443,2.188279443,2.197191573,2.197191573,2.197191573,2.197191573,2.199218345,2.199218345,2.199218345,2.199218345,2.206518306,2.206518306,2.206518306,2.206518306,1.347908745,1.347908745,1.347908745,1.347908745,2.190356318
2005:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.7,1.63,1.57,1.57,1.57,1.57,2.23,2.23,2.23,2.23,2.36,2.36,2.36,2.36,2.18,2.18,2.18,2.18,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.25,2.229100552,2.229100552,2.229100552,2.223348047,2.223348047,2.223348047,2.223348047,2.237070633,2.237070633,2.237070633,2.237070633,2.239075311,2.239075311,2.239075311,2.239075311,2.245291023,2.245291023,2.245291023,2.245291023,2.241277318,2.241277318,2.241277318,2.241277318,2.230291248
2005:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.97,1.24,1.24,1.24,1.24,1.64,1.64,1.64,1.64,1.62,1.62,1.62,1.62,1.58,1.58,1.58,1.58,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.39,1.38469908,1.38469908,1.38469908,1.384255314,1.384255314,1.384255314,1.384255314,1.403414289,1.403414289,1.403414289,1.403414289,1.40040214,1.40040214,1.40040214,1.40040214,1.405887733,1.405887733,1.405887733,1.405887733,1.408872563,1.408872563,1.408872563,1.408872563,1.402907942
2006:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.77,1.68,1.68,1.68,2.22,2.22,2.22,2.22,2.16,2.16,2.16,2.16,2.41,2.41,2.41,2.41,2.39,2.39,2.39,2.39,2.41,2.41,2.41,2.41,2.42,2.395316354,2.395316354,2.395316354,2.361871375,2.361871375,2.361871375,2.361871375,2.368037103,2.368037103,2.368037103,2.368037103,2.367094265,2.367094265,2.367094265,2.367094265,2.373105183,2.373105183,2.373105183,2.373105183,2.372127084,2.372127084,2.372127084,2.372127084,2.385049595
2006:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.18,1.21,1.21,1.55,1.55,1.55,1.55,1.36,1.36,1.36,1.36,1.39,1.39,1.39,1.39,1.57,1.57,1.57,1.57,1.52,1.52,1.52,1.52,1.51,1.505649843,1.505649843,1.505649843,1.517107964,1.517107964,1.517107964,1.517107964,1.517022213,1.517022213,1.517022213,1.517022213,1.520949869,1.520949869,1.520949869,1.520949869,1.5272658,1.5272658,1.5272658,1.5272658,1.529214178,1.529214178,1.529214178,1.529214178,1.523310032
2006:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.15,1.39,1.57,1.57,1.57,1.57,1.52,1.52,1.52,1.52,1.15,1.15,1.15,1.15,1.23,1.23,1.23,1.23,1.28,1.28,1.28,1.28,1.3,1.291014966,1.291014966,1.291014966,1.302442329,1.302442329,1.302442329,1.302442329,1.294964029,1.294964029,1.294964029,1.294964029,1.293959279,1.293959279,1.293959279,1.293959279,1.299317034,1.299317034,1.299317034,1.299317034,1.291506146,1.291506146,1.291506146,1.291506146,1.284676461
2006:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.35,1.5,1.5,1.5,1.5,1.28,1.28,1.28,1.28,1.41,1.41,1.41,1.41,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.03,1.025798764,1.025798764,1.025798764,1.043094477,1.043094477,1.043094477,1.043094477,1.06833698,1.06833698,1.06833698,1.06833698,1.069329561,1.069329561,1.069329561,1.069329561,1.068891559,1.068891559,1.068891559,1.068891559,1.074732107,1.074732107,1.074732107,1.074732107,1.072797955
2007:01:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.51,1.46,1.46,1.46,1.16,1.16,1.16,1.16,1.47,1.47,1.47,1.47,1.55,1.55,1.55,1.55,1.54,1.54,1.54,1.54,1.6,1.589846379,1.589846379,1.589846379,1.570795489,1.570795489,1.570795489,1.570795489,1.586063959,1.586063959,1.586063959,1.586063959,1.58410038,1.58410038,1.58410038,1.58410038,1.594162121,1.594162121,1.594162121,1.594162121,1.594195255,1.594195255,1.594195255,1.594195255,1.595204727
2007:02:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.28,1.22,1.22,0.92,0.92,0.92,0.92,0.85,0.85,0.85,0.85,1.18,1.18,1.18,1.18,1.08,1.08,1.08,1.08,1.02,1.01233335,1.01233335,1.01233335,1.021743406,1.021743406,1.021743406,1.021743406,1.024472533,1.024472533,1.024472533,1.024472533,1.026391566,1.026391566,1.026391566,1.026391566,1.035624759,1.035624759,1.035624759,1.035624759,1.036586345,1.036586345,1.036586345,1.036586345,1.0395495
2007:03:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.87,0.81,0.75,0.75,0.75,0.75,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.14,0.14,0.14,0.2,0.199606558,0.199606558,0.199606558,0.21796992,0.21796992,0.21796992,0.21796992,0.232015752,0.232015752,0.232015752,0.232015752,0.229114459,0.229114459,0.229114459,0.229114459,0.231908711,0.231908711,0.231908711,0.231908711,0.230952087,0.230952087,0.230952087,0.230952087,0.248321039
2007:04:00,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.88,0.79,0.79,0.79,0.79,1.18,1.18,1.18,1.18,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.66,0.656693593,0.656693593,0.656693593,0.680654312,0.680654312,0.680654312,0.680654312,0.708194328,0.708194328,0.708194328,0.708194328,0.710138083,0.710138083,0.710138083,0.710138083,0.708852831,0.708852831,0.708852831,0.708852831,0.708854525,0.708854525,0.708854525,0.708854525,0.689513663
